Item,Condition,Rating,ReactionTime,Ratingdist,ReactionTimedist
44,A,6.2,28195.5,5.2,32366.9
44,B,3.1,19812.6,4.5,33928.1
44,C,2.3,31214.3,1.9,28724.5
45,A,7,43959.6,1.6,20535.7
45,B,5,28891.6,2.8,21704.9
45,C,2.5,14592.9,1.8,20955.1
46,A,6.8,20907.9,4.9,20292.5
46,B,5.2,74275.5,5,49212.4
46,C,2.7,22096,1.2,19900.5
47,A,6.4,23967.9,1.8,21466.7
47,B,4.3,31559.8,5.3,54859.1
47,C,2.8,25075.5,2.6,24157.2
48,A,5.7,18034.7,2.9,21586
48,B,2.8,24142.1,4.1,23084.6
48,C,2.8,19866.2,3.2,18534.9
49,A,6.4,17209.2,2.8,31956.8
49,B,3,22898.2,3.7,22661.3
49,C,1,19637.4,2.1,24859.5
50,A,6.4,57045.6,6.4,28377.3
50,B,4.3,31838.7,1.6,28030.2
50,C,2.4,28134,4,25453.2
51,A,6.8,22727.9,4.5,22260.2
51,B,1.9,24463.1,2,25008.9
51,C,2.3,15802.2,1.7,21796.9
52,A,5.2,26414.9,3.9,16371.1
52,B,4.2,23091,3.1,41154.3
52,C,1.3,15623.2,1.6,17777.1
53,A,4.6,32585,2.5,26763.4
53,B,4.6,29174.4,4.8,98758.1
53,C,3.3,31525.4,2,19469.4
54,A,6.4,22692.4,3.7,24043
54,B,2.8,28877.7,3.7,26392.3
54,C,2.2,21627.7,1.4,19966.2
55,A,6.3,18947,3.1,28231.3
55,B,4.9,24646.5,4.1,24747
55,C,2.2,22409.8,3,23130.1
56,A,6.8,21265.7,2,21869.5
56,B,2,16176.7,2.7,35827.8
56,C,2.1,19285.9,3.6,20590.6
57,A,4.5,28503.2,1.9,28849.9
57,B,3.4,32010.9,1.2,26361.3
57,C,1.3,24251.1,1.2,29212.4
58,A,6.5,30124.7,4.6,20601
58,B,6,26750.2,5.3,24506.3
58,C,2.2,34410.9,1.6,25784.2
59,A,6.6,25222.8,2.1,19534.8
59,B,2.3,55515.7,2.1,17351.3
59,C,2.9,19534.6,3.1,17519
60,A,5.9,31447.2,2.7,25837
60,B,2.7,19596.6,3.2,19604.9
60,C,1.6,22487.4,1.9,12730.9
