Condition,Item,Sentence,Verb,Target,Distractor,Last_Mentioned,Cloze,Cloze_distractor,Cloze_C_alternative,Cloze_round,Plaus_target_avg,Plaus_dist_avg,Cloze_C_alternative_Francesca,Surprisal_target,Surprisal_distractor,LeoLM_tar,LeoLM_dist
C,10,Daraufhin knickte die Hausfrau,knickte,Handwerker,Wasserhahn,distractor,0,0.06666666667,0,,1.5,1.7,0.266666667,9.01718998,1.229346,3.91283955279505,1.029025091324
A,11,Nach der Führung faltete der Urlauber,faltete,Flyer,Guide,distractor,1,0,,2,6.2,5.4,,0.1460913122,13.45625973,0.0580229868064635,15.27845287323
B,11,Nach der Führung besorgte der Urlauber,besorgte,Flyer,Guide,distractor,NA,NA,,,2.8,2.5,,0.1539989412,9.783524513,0.566396293404978,10.5429248809814
C,11,Nach der Führung kochte der Urlauber,kochte,Flyer,Guide,distractor,0,0,0.1333333333,,1.8,1.9,0.333333333,0.5063359141,8.54805851,1.30246765111588,5.28482675552368
A,12,Daraufhin bedrohte der Paparazzi,bedrohte,Schauspielerin,Kamera,distractor,1,0,,2,6.4,1.9,,1.024572372,4.539141178,0.0767105820123106,10.3214815667598
B,12,Daraufhin erkannte der Paparazzi,erkannte,Schauspielerin,Kamera,distractor,NA,NA,,,3.7,2.9,,2.387670517,3.697336197,1.41293197032064,2.64897289995133
C,12,Daraufhin färbte der Paparazzi,färbte,Schauspielerin,Kamera,distractor,0,0,0.2666666667,,3,1.9,0.333333333,8.455472946,3.049592257,1.14691096800379,2.73900212279113
A,13,Daraufhin lobte der Schneider,lobte,Assistentin,Schaufensterpuppe,distractor,0.8,0.06666666667,,2,6.2,5.1,,8.431185722,0.3654086259,0.620135156903416,5.15193261185777
B,13,Daraufhin entdeckte der Schneider,entdeckte,Assistentin,Schaufensterpuppe,distractor,NA,NA,,,4.9,5.6,,11.77056122,1.184232342,6.28470849664882,2.30728591117077
C,13,Daraufhin schnitt der Schneider,schnitt,Assistentin,Schaufensterpuppe,distractor,0,0.1333333333,0.2666666667,,2,3.3,0.466666667,15.71411324,0.5698987387,6.9431706846226,2.52413766260725
