Condition,Item,Sentence,Verb,Target,Distractor,Last_Mentioned,Cloze,Cloze_distractor,Cloze_C_alternative,Cloze_round,Plaus_target_avg,Plaus_dist_avg,Cloze_C_alternative_Francesca,Surprisal_target,Surprisal_distractor,LeoLM_tar,LeoLM_dist
A,48,An diesem Abend spielte das Orchester,spielte,Stück,Publikum,target,0.4,0,,1,5.7,2.9,,0.7200106382,10.20152283,0.513057694857707,13.6495966614457
B,48,An diesem Abend erwartete das Orchester,erwartete,Stück,Publikum,target,NA,NA,,,2.8,4.1,,2.96454668,3.013258696,6.98083290085197,2.49313560652081
C,48,An diesem Abend engagierte das Orchester,engagierte,Stück,Publikum,target,0.06666666667,0,0.2666666667,,2.8,3.2,0.266666667,6.108757496,5.461063385,4.27421552792657,1.3962904807413
A,49,Dort begrüßte der Doktorand,begrüßte,Betreuerin,Arbeit,target,0.3333333333,0,,1,6.4,2.8,,0.8302885816,12.80644321,3.47081784414331,13.3954048156738
B,49,Dort wechselte der Doktorand,wechselte,Betreuerin,Arbeit,target,NA,NA,,,3,3.7,,6.568589814,7.32781744,12.7300680261105,8.17492961883545
C,49,Dort reparierte der Doktorand,reparierte,Betreuerin,Arbeit,target,0,0.1333333333,0,,1,2.1,0.133333333,13.60730568,7.6517663,10.8848050894449,6.18139934539795
A,50,Daraufhin segnete der Pfarrer,segnete,Protestantin,Reise,distractor,0.6666666667,0.3333333333,,,6.4,6.4,,5.474379824,1.319716454,0.936386458575726,1.88565464317799
B,50,Daraufhin kontaktierte der Pfarrer,kontaktierte,Protestantin,Reise,distractor,NA,NA,,2,4.3,1.6,,2.057551108,10.89372921,8.54608936980367,4.78117178380489
C,50,Daraufhin las der Pfarrer,las,Protestantin,Reise,distractor,0,0,0.2,,2.4,4,0.466666667,6.194640487,6.40066576,2.82240939303301,6.76226735115051
A,51,In der Praxis erfragte der Therapeut,erfragte,Symptome,Erzieherin,target,0.4666666667,0,,2,6.8,4.5,,2.149302244,9.753817648,1.87027165433392,7.86935382336378
B,51,In der Praxis entwickelte der Therapeut,entwickelte,Symptome,Erzieherin,target,NA,NA,,,1.9,2,,0.8628239036,13.322673,5.09613064210862,5.68391906953184
C,51,In der Praxis tauschte der Therapeut,tauschte,Symptome,Erzieherin,target,0,0,0.2,,2.3,1.7,0.333333333,4.918844223,8.816965237,10.6290491956752,8.04804373043589
A,52,Dann malte die Designerin,malte,Eisbären,Geschichten,target,0.7333333333,0,,2,5.2,3.9,,2.849281549,4.621411324,0.809892789751757,6.30509263393469
B,52,Dann beobachtete die Designerin,beobachtete,Eisbären,Geschichten,target,NA,NA,,,4.2,3.1,,1.444480777,5.771115303,1.66056505753659,8.4309817571193
C,52,Dann leerte die Designerin,leerte,Eisbären,Geschichten,target,0.06666666667,0,0.1333333333,,1.3,1.6,0.2,11.13752174,7.650810719,7.47868847846985,9.22351494431496
A,53,Daraufhin schrieb der Architekt,schrieb,Rede,Turnhalle,target,0.7333333333,0,,2,4.6,2.5,,3.910542488,5.05751133,0.85580874508014,3.76613148860633
B,53,Daraufhin analysierte der Architekt,analysierte,Rede,Turnhalle,target,NA,NA,,,4.6,4.8,,9.779819489,6.826522827,5.14930585026741,3.71884427964687
C,53,Daraufhin rief der Architekt,rief,Rede,Turnhalle,target,0,0,0.2666666667,,3.3,2,0.266666667,9.946516991,7.818226337,12.3233752250671,8.92704576253891
A,54,Dann verabschiedete der Gitarrist,verabschiedete,Agentin,Sängerin,distractor,0.6666666667,0.06666666667,,2,6.4,3.7,,2.217580062,0.8670470715,0.125696423463523,8.77590985689312
B,54,Dann beschäftigte der Gitarrist,beschäftigte,Agentin,Sängerin,distractor,NA,NA,,,2.8,3.7,,1.832262017,1.949004531,1.93099416932091,1.38253680570051
C,54,Dann kaufte der Gitarrist,kaufte,Agentin,Sängerin,distractor,0,0,0.2666666667,,2.2,1.4,0.333333333,11.48500502,5.134884357,4.55712048197165,1.98098465090152
A,55,Danach umarmte der Kurator,umarmte,Galeristin,Skulptur,target,0.8666666667,0.1333333333,,2,6.3,3.1,,10.52608335,0.3017178774,0.0668316600786056,9.63297655573115
B,55,Danach buchte der Kurator,buchte,Galeristin,Skulptur,target,NA,NA,,,4.9,4.1,,16.76054574,0.3287438154,5.1893598009483,1.13691067462787
C,55,Danach sammelte der Kurator,sammelte,Galeristin,Skulptur,target,0,0.06666666667,0.2,,2.2,3,0.2,18.71314949,2.059751034,14.1301935201918,7.31075192801654
A,56,Dann betrat die Kommilitonin,betrat,Toilette,Wimperntusche,target,0.9333333333,0,,2,6.8,2,,0.06803230941,7.221991777,0.730965643073432,19.3852605521679
B,56,Dann beschrieb die Kommilitonin,beschrieb,Toilette,Wimperntusche,target,NA,NA,,,2,2.7,,1.9770298,2.489972911,3.74483946611872,3.15921156550758
C,56,Dann las die Kommilitonin,las,Toilette,Wimperntusche,target,0,0,0.1333333333,,2.1,3.6,0.133333333,5.577623844,1.076561906,8.79196608951315,3.92205635190476
A,57,Dann streichelte der Verbrecher,streichelte,Schäferhund,Ermittler,target,1,0,,2,4.5,1.9,,0.6609633882,14.84984398,1.2538512359024,10.7976973529439
B,57,Dann versorgte der Verbrecher,versorgte,Schäferhund,Ermittler,target,NA,NA,,,3.4,1.2,,0.1387842242,8.942687988,1.94729507973534,2.16058801743202
C,57,Dann faltete der Verbrecher,faltete,Schäferhund,Ermittler,target,0,0.06666666667,0.1333333333,,1.3,1.2,0.133333333,2.721726954,13.93777466,4.41687389969593,1.62720659305342
A,58,Daraufhin verteidigte die Anwältin,verteidigte,Beschuldigten,Kläger,distractor,1,0,,,6.5,4.6,,3.843306541,5.000614166,0.260500809410587,5.26507586927619
B,58,Daraufhin prüfte die Anwältin,prüfte,Beschuldigten,Kläger,distractor,NA,NA,,2,6,5.3,,7.841059685,8.771967888,1.45904496056028,2.41200945992023
C,58,Daraufhin schwenkte die Anwältin,schwenkte,Beschuldigten,Kläger,distractor,0,0,0.2,,2.2,1.6,0.2,11.9196949,15.60111809,4.1751584095764,3.56099800020456
A,59,Daraufhin angelte der Kumpel,angelte,Flussbarsch,Jungen,target,0.6666666667,0,,,6.6,2.1,,1.235432811,7.749116898,3.37343128572684,3.9641890572093
B,59,Daraufhin reinigte der Kumpel,reinigte,Flussbarsch,Jungen,target,NA,NA,,1,2.3,2.1,,3.32149376,8.597401619,5.70555172662716,11.7388136386871
C,59,Daraufhin trocknete der Kumpel,trocknete,Flussbarsch,Jungen,target,0,0,0.1333333333,,2.9,3.1,0.2,3.244193708,9.548920631,5.0532938024262,3.4200807211455
A,60,Daraufhin verstellte die Gynäkologin,verstellte,Liege,Schwangere,target,0.7333333333,0,,1,5.9,2.7,,1.058240652,10.77605533,0.413669950794429,12.5115546286106
B,60,Daraufhin suchte die Gynäkologin,suchte,Liege,Schwangere,target,NA,NA,,,2.7,3.2,,8.439344406,5.980378069,6.54141104221344,3.2125778067857
C,60,Daraufhin verordnete die Gynäkologin,verordnete,Liege,Schwangere,target,0,0,0.2666666667,,1.6,1.9,0.266666667,7.454656601,9.354180038,7.9956371691078,2.95987043168861
